Datetime,Water Level (m)
2024-03-27 06:00:00,-0.33202255
2024-03-27 07:00:00,0.07739044
2024-03-27 08:00:00,0.5082077
2024-03-27 09:00:00,0.74600595
2024-03-27 10:00:00,0.64472854
2024-03-27 11:00:00,0.37218124
2024-03-27 12:00:00,0.091546975
2024-03-27 13:00:00,-0.18445969
2024-03-27 14:00:00,-0.45099974
2024-03-27 15:00:00,-0.69416124
2024-03-27 16:00:00,-0.84898716
2024-03-27 17:00:00,-0.6467169
2024-03-27 18:00:00,-0.3108198
2024-03-27 19:00:00,0.08612387
2024-03-27 20:00:00,0.5057772
2024-03-27 21:00:00,0.7167351
2024-03-27 22:00:00,0.5658647
2024-03-27 23:00:00,0.2801866
2024-03-28 00:00:00,-0.0012343808
2024-03-28 01:00:00,-0.2765759
2024-03-28 02:00:00,-0.54106516
2024-03-28 03:00:00,-0.78409314
2024-03-28 04:00:00,-0.9658605
2024-03-28 05:00:00,-0.84479344
2024-03-28 06:00:00,-0.5229716
2024-03-28 07:00:00,-0.118518166
2024-03-28 08:00:00,0.33490303
2024-03-28 09:00:00,0.6932282
2024-03-28 10:00:00,0.76661754
2024-03-28 11:00:00,0.50979686
2024-03-28 12:00:00,0.23486558
2024-03-28 13:00:00,-0.04166296
2024-03-28 14:00:00,-0.31078908
2024-03-28 15:00:00,-0.55992454
2024-03-28 16:00:00,-0.7537861
2024-03-28 17:00:00,-0.694581
2024-03-28 18:00:00,-0.38376504
2024-03-28 19:00:00,-0.025597163
2024-03-28 20:00:00,0.36920515
2024-03-28 21:00:00,0.657629
2024-03-28 22:00:00,0.6494208
2024-03-28 23:00:00,0.37709278
2024-03-29 00:00:00,0.098745495
2024-03-29 01:00:00,-0.17102991
2024-03-29 02:00:00,-0.4332695
2024-03-29 03:00:00,-0.67738914
2024-03-29 04:00:00,-0.8780029
2024-03-29 05:00:00,-0.89792883
2024-03-29 06:00:00,-0.60128087
2024-03-29 07:00:00,-0.24271974
2024-03-29 08:00:00,0.17502299
2024-03-29 09:00:00,0.5953
2024-03-29 10:00:00,0.81587195
2024-03-29 11:00:00,0.67595273
2024-03-29 12:00:00,0.40072066
2024-03-29 13:00:00,0.117974475
2024-03-29 14:00:00,-0.15118055
2024-03-29 15:00:00,-0.40681154
2024-03-29 16:00:00,-0.62342614
2024-03-29 17:00:00,-0.7113203
2024-03-29 18:00:00,-0.46186602
2024-03-29 19:00:00,-0.15072493
2024-03-29 20:00:00,0.20355466
2024-03-29 21:00:00,0.52843267
2024-03-29 22:00:00,0.637544
2024-03-29 23:00:00,0.43634078
2024-03-30 00:00:00,0.17185983
2024-03-30 01:00:00,-0.09111086
2024-03-30 02:00:00,-0.34677184
2024-03-30 03:00:00,-0.58688563
2024-03-30 04:00:00,-0.7952301
2024-03-30 05:00:00,-0.9102726
2024-03-30 06:00:00,-0.6974119
2024-03-30 07:00:00,-0.38925868
2024-03-30 08:00:00,-0.015157648
2024-03-30 09:00:00,0.38688272
2024-03-30 10:00:00,0.6893986
2024-03-30 11:00:00,0.7494943
2024-03-30 12:00:00,0.51586926
2024-03-30 13:00:00,0.25434247
2024-03-30 14:00:00,-0.0069382438
2024-03-30 15:00:00,-0.25563645
2024-03-30 16:00:00,-0.47790647
2024-03-30 17:00:00,-0.63054645
2024-03-30 18:00:00,-0.5217138
2024-03-30 19:00:00,-0.23758285
2024-03-30 20:00:00,0.07349049
2024-03-30 21:00:00,0.39426148
2024-03-30 22:00:00,0.5761992
2024-03-30 23:00:00,0.466252
2024-03-31 00:00:00,0.23134623
2024-03-31 01:00:00,-0.010575575
2024-03-31 02:00:00,-0.24919961
2024-03-31 03:00:00,-0.47574753
2024-03-31 04:00:00,-0.6791832
2024-03-31 05:00:00,-0.83007455
2024-03-31 06:00:00,-0.78989553
2024-03-31 07:00:00,-0.5260152
2024-03-31 08:00:00,-0.21031551
2024-03-31 09:00:00,0.1333595
2024-03-31 10:00:00,0.47778335
2024-03-31 11:00:00,0.6565857
2024-03-31 12:00:00,0.57876873
2024-03-31 13:00:00,0.34096727
2024-03-31 14:00:00,0.09388039
2024-03-31 15:00:00,-0.13807596
2024-03-31 16:00:00,-0.3521948
2024-03-31 17:00:00,-0.5231171
2024-03-31 18:00:00,-0.59012127
2024-03-31 19:00:00,-0.41306698
2024-03-31 20:00:00,-0.1779648
2024-03-31 21:00:00,0.07832535
2024-03-31 22:00:00,0.3043175
2024-03-31 23:00:00,0.3978709
2024-04-01 00:00:00,0.26123628
2024-04-01 01:00:00,0.051224947
2024-04-01 02:00:00,-0.16447191
2024-04-01 03:00:00,-0.37240866
2024-04-01 04:00:00,-0.5699581
2024-04-01 05:00:00,-0.7411832
2024-04-01 06:00:00,-0.8410722
2024-04-01 07:00:00,-0.7076489
2024-04-01 08:00:00,-0.4545657
2024-04-01 09:00:00,-0.1459811
2024-04-01 10:00:00,0.18695611
2024-04-01 11:00:00,0.48971283
2024-04-01 12:00:00,0.62652373
2024-04-01 13:00:00,0.5358641
2024-04-01 14:00:00,0.33630255
2024-04-01 15:00:00,0.12536499
2024-04-01 16:00:00,-0.062795326
2024-04-01 17:00:00,-0.23538046
2024-04-01 18:00:00,-0.3721521
2024-04-01 19:00:00,-0.4288951
2024-04-01 20:00:00,-0.30276883
2024-04-01 21:00:00,-0.11394021
2024-04-01 22:00:00,0.075515874
2024-04-01 23:00:00,0.2286452
2024-04-02 00:00:00,0.27357155
2024-04-02 01:00:00,0.15859263
2024-04-02 02:00:00,-0.009997474
2024-04-02 03:00:00,-0.18892924
2024-04-02 04:00:00,-0.36700097
2024-04-02 05:00:00,-0.5319469
2024-04-02 06:00:00,-0.6698395
